ser	ser/organismo
pesquisador	cientista
ocorrência	ocorrente/acontecimento/ocorrência
apreciar	passar/transmitir
vedar	cerrar/fechar
posicionamento	atividade/ocupação
partida	certame/partida/concurso/competição/torneio/jogo/partida/ato/ação/feito/acção
manchete	encabeçamento
fundir	mudar
fracassar	mudar
desconfiança	dúvida/incerteza
correr	acelerar/apressar/despachar-se/apressar-se/passar/viajar/ir/caminhar/andar/deslocar/mexer/mover
par	reunião/indivíduo/pessoa/alguém/ser_humano/alma
crônica	registro
banda	decoração/ornamento
morar	morar/habitar/povoar/viver
marketing	comércio/mercantilismo/comercialismo/comércio/mercantilismo/comercialismo
bater	deslocar/mover/deslocar/mexer/mover/acertar/bater/golpear/acertar/bater/golpear/golpear/bater/cerrar/fechar
jurisdição	poder
indício	evidência/indicação/comunicação/mensagem
endossar	suportar/ajudar/apoiar
comparar	examinar/analizar
tom	propriedades_acústicas
terras	imobiliária/imóvel/chácara/granja/quinta/sítio/fazenda
separar	deslocar/mexer/mover/mudar
minuto	unidades_de_tempo/unidade_de_tempo
alfabetização	talento/habilidade/meta/técnica
seio	anatomia/parte_do_corpo
pobreza	miséria/pobreza/pobreza/empobrecimento
impressão	aspecto/aparência/semblante/arte_gráfica
fenômeno	processos_físicos
correspondência	transporte/transferência
espalhar	derramar/desaguar
recuar	viajar/ir/caminhar/andar
laço	ornato/ornamento/decoração/adorno
conduta	atividade/ocupação/acção/ação/atividade/ato
identificação	evidência/indicação
fome	deficiência/escassez/carência/falta/ausência
convicção	crença/opinião/fé/convicção/objecto_mental
alcance	fase/grau/nível/ápice/extensão/alcance
inscrever	protocolar/registar/registrar/registar/inscrever/registrar/recrutar
impulso	força/violência/força/violência
identidade	semelhança/similardidade/personalidade/temperamento/pessoa
facilidade	habilidade
descendente	parente
contador	empresário
compensar	balancear/equilibrar/compensar/pagar
psicologia	disciplina_cientifica/ciência
inovação	criatividade/criatividade/criação
explicação	atos_da_fala/acto_de_fala/afirmação/declaração
componente	parte/porção/componente/parte/conexão/relação
reintegrar	pagar
regiões	locação/ponto/lugar/localização
necessitar	estar/ser
conceber	virar/mudar/tornar
centrar	raciocinar/cogitar/pensar/refletir
obrigação	controle_social/trabalho/tarefa
apressar	viajar/ir/caminhar/andar
agressão	acção/ação/atividade/ato
marchar	ir/caminhar/andar/ir/caminhar/andar
demonstração	comunicação_visual/comunicação_visual
deliberar	discutir/discutir
provar	ingerir/tomar/consumir/informar
miséria	miséria/pobreza/pobreza/empobrecimento
mercadoria	objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
barreira	mecanismo/barreira/obstáculo
vôo	excursão
solo	solo/atividade/ocupação/objeto/objeto_físico
safra	rendimento
madeira	material_de_construção/materiais_de_construção
trânsito	acúmulo/aglomeração/colecção/coleção/acúmulo/aglomeração/colecção/coleção/comércio/mercantilismo/comercialismo
símbolo	aceno/emblema/símbolos/símbolo/sinal/simbolo/sinal
satélite	equipamento/ferramenta
oficina	oficina/laboratório/emprego/locais_de_trabalho/trabalho
fabricação	edificação/construção
deficiência	necessidade/carência/quantidade/número
magistrado	servidor_público/funcionário/serventuário/juiz/árbitro/adjudicator
lema	locução/provérbio/ditado/idioma/expressão
gado	mamífero_placental/mamífero
explosão	ruído/explosão
soma	concepção/idéia/conceito/ideia
regresso	traslado/movimento/deslocamento/vinda/chegada
surpresa	alteração/mudança/variação/modificação
senhor	homem
ignorar	rejeitar
fuga	escape/escapatória/fuga
festa	acontecimento/festa/recreaçao/diversão
declínio	encosta/ladeira/subida/costa/declives/declive
ajudante	trabalhador
suporte	suporte/encosto/apoio/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/auxílio/socorro/ajuda/assistência
filme	bens/produção/produto/objeto/objeto_físico
contemplar	observar/mirar/olhar/ver/raciocinar/cogitar/pensar/refletir
biografia	crónica/crônica
assentamento	grupo/comunidade
recebimento	saudação
indivíduo	indivíduo/pessoa/alguém/ser_humano/alma/causa/causador/ser/organismo/ser/organismo
descartar	rejeitar
prisioneiro	infortunado/desventurado/desafortunado
poema	género_literário/gêneros_literários/gênero_literário
estimar	respeitar/prezar/venerar/julgar/avaliar/balizar
retomada	progresso/melhoria
religião	crença/opinião/fé/convicção
inteligência	unidade_administrativa/órgão_público/inteligência/poder/capacidade/talento/habilidade
saudar	transmitir/comunicar
júri	comité/comissão/junta/comitê/grupo/comunidade/grupo/comunidade
incremento	processos_físicos
discordância	confronto/recontro/conflito/discórdia/discrepância/discordo/desacordo/discordância
desastre	azar/má_sorte/infortúnio
boato	fofoca/bisbolhetice/bisbilhotice
atrasar	adiar
tráfego	acúmulo/aglomeração/colecção/coleção/comércio/mercantilismo/comercialismo
cabeça	chefe/líder/compreensão/conhecimento/noção/cognição
asilo	asilo/refúgio
distância	espaçamento/espaçamento
correios	comunicado/comunicação/uma_comunicação
competição	certame/partida/concurso/competição/torneio/jogo/ação_em_grupo
finança	gestão/administração
consideração	informação/conhecimento/ideia
combinar	igualar/equivaler/mudar
cientista	indivíduo/pessoa/alguém/ser_humano/alma
caderno	livros/livro
ascender	ascender/subir/viajar/ir/caminhar/andar
telefone	sinal/equipamento_eletrônico
interrupção	intervalo_de_tempo/tempo/intervalo
infraestrutura	estrutura/arquitectura/arquitectura_do_computador
habitante	indivíduo/pessoa/alguém/ser_humano/alma
feita	hora
escravo	indivíduo/pessoa/alguém/ser_humano/alma
controvérsia	controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância
chance	possibilidade/chance
anexo	adição/melhoria/adição/melhoria
sala	quarto/aposento/sala/quarto/aposento/sala
residente	habitante/morador
privilégio	predominância/vantagem/benefício
pedagogia	pedagogia/atividade/ocupação
herdar	receber/obter/comprar/adquirir
física	ciências_físicas/ciências_naturais/ciência/ciências_físicas/ciências_naturais/ciência
expandir	aumentar/crescer
dano	alteração/mudança/variação/modificação
civilização	sociedade/sociedade
óleo	lipido/lípido/lípidos/lípidos/lipídio/gordura
morador	habitante/morador/indivíduo/pessoa/alguém/ser_humano/alma
guerreiro	indivíduo/pessoa/alguém/ser_humano/alma
foto	afiguração/imagem/ilustração/figura/desenho/representação
esvaziar	esvaziar/evaziar
colônia	região_geográfica/região/área_geográfica/grupo/comunidade
caminhar	ir/caminhar/andar/ir/caminhar/andar/ir/caminhar/andar/viajar/ir/caminhar/andar/viajar/ir/caminhar/andar
temor	ansiedade/preocupação/ânsia/emoção/comoção/abalo/sentimento
proletariado	classe_social/classe/estrato
multidão	reunião
doar	oferecer/dar_de_presente/dar/regalar/entregar/dar/entregar
balança	instrumentos_de_medida/instrumentos_de_medição/metro/instrumento_de_medida
teórico	intelectual/intelecto
relato	artigo/notícias/notícia/documento/documentação
gravar	registar/registrar
encarar	observar/mirar/olhar/ver
baía	massa_de_água/água/corpo_de_água
gesto	gesto/gesto/gestos/mudança
corrigir	mudar/modificar/alterar
transportar	deslocar/mover/transportar/levar/carregar/transportar/levar/carregar
sobreviver	fazer/agir/atuar
admissão	reconhecimento
subir	ascender/subir/ascender/subir/viajar/ir/caminhar/andar/aumentar/crescer
show	atuação
produtos	soma/número/quantidade
munição	munição/munição_de_guerra
líquido	líqüido/fluido
loja	shopping/centros_comerciais/shopping_center
linguagem	linguagem/discurso/idioma/língua/comunicação/mensagem
fé	amizade/crença/opinião/fé/convicção/crença/opinião/fé/convicção/objecto_mental
convidado	visita/visitante
confirmação	prova/confirmação
terminal	equipamento_eletrônico
gente	pessoal/população/povo/gente/pessoal/população/povo/gente/grupo/agrupação/conjunto
taxação	imposto
sobrevivência	vida/animação
requisitar	transmitir/comunicar
pedra	cristal/objeto_natural/objeto_natural
oposto	oposição
experimentar	ingerir/tomar/consumir/analizar/pesquisar
evidência	informação/conhecimento
estádio	estrutura/tecido/edifício
avisar	informar
apartamento	alojamento/abrigo/casa
restaurante	restaurante/edifício/prédio
omissão	engano/falha/equívoco/erro
expulsar	expulsar/deslocar/mover
expedição	industria/comércio/negócio/empresa
esboçar	imaginar
prontidão	condição/situação/estado
preços	qualidade/preço/preços
elogio	aplauso/aprovação
cópia	afiguração/imagem/ilustração/figura/desenho/representação
circunscrição	regiões/região
arquiteto	criativo/creador/criador
amparo	proteção/capa
prata	condutor/moeda
ânimo	ânimo
paixão	objeto/objecto/objetivo/objeto/objecto/objetivo
braço	perna/membro
personagem	creatura_imaginaria/ser_imaginario/creatura_imaginaria/ser_imaginario/caracterização
morro	elevação
harmonia	música
exibir	ter/possuir/mostrar/apresentar
caçador	trabalhador_especializado
pregação	discurso
ideia	concepção/idéia/conceito/ideia/pensamento/idéia/conceito/opinião/pensamento/idéia/conceito/opinião
escassez	deficiência/escassez/carência/falta/ausência/necessidade/carência
dignidade	auto-estima/orgulho
agitar	deslocar/mover/deslocar/mexer/mover/deslocar/mexer/mover
entusiasmo	interesse
distorção	engano/falha/equívoco/erro
caminhão	veículos_motorizados
aperfeiçoar	mudar/modificar/alterar
testemunha	indivíduo/pessoa/alguém/ser_humano/alma
separação	ação_em_grupo
selar	cerrar/fechar
hemisfério	região_geográfica/região/área_geográfica
exportar	comerciar
estacionar	manobrar/guiar/canalizar/dirigir
despedida	partida
coração	figura_de_duas_dimensões/figura_plana/centro/ponto_médio/víscera
salvar	defender/proteger
herança	possessão/propriedade
falha	circunstâncias/sina/sorte/destino/imperfeição/defeito/falha/insucesso
estrela	figura_de_duas_dimensões/figura_plana/estrela/corpo_celeste/astro
salto	aumento/crescimento
retardar	ociosidade
raça	grupo/agrupação/conjunto
inocentar	pronunciar/julgar/rotular
hotel	hotel/edifício/prédio
convivência	ligação/relação
capa	cobertura/capa/cobertura/capa
tabela	array/ordem
reflexão	ideia
impulsionar	deslocar/mexer/mover
era	idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período
confessar	julgar/declarar
biblioteca	edifício/prédio
sumário	afirmação/declaração
medicamento	produtos_farmacêuticos/medicamento/remédio/droga_medicinal/medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
matrícula	entrada/ingresso
inclinar	torcer/dobrar/curvar/vergar/torcer/dobrar/curvar/vergar/aprumar
formato	informação
eletrônica	ciências_físicas/fisica/física/física/ciências_físicas/fisica/física/física
detenção	confinamento
credibilidade	qualidade
cliente	consumidor
suprir	prover/suprir/abastecer/fornecer/dar/entregar
subscrever	escrever/redigir
site	calculadora/computador
selecionar	resolver/decidir/seleccionar/escolher/selecionar
motorista	manipulador/operador
compartilhar	fazer/agir/atuar
alguém	causa/causador/ser/organismo
adulto	indivíduo/pessoa/alguém/ser_humano/alma
vinda	vinda/chegada
perito	especialista/especialista
fita	banda
feito	acção/ação/atividade/ato/acontecimento/fato/evento
ensinar	informar
calendário	estrutura/organização/ordem/sistema
amor	amante/amado/amante/amado/objeto/objecto/objetivo
resumir	reduzir/diminuir
modernizar	alterar/mudar
laje	bloco
carne	vianda/carne/estrutura_organica/corpo/corpo_humano
animal	ser/organismo
alocação	atribuição
penetrar	ganhar_terreno
móvel	móvel/mobília/mobiliário
lamentar	sentir/experimentar
glória	honra/honra/aplauso/aprovação
desconto	diminuição/redução
atestar	informar
perguntar	questionar/perguntar/transmitir/comunicar/ruminar/ponderar/cogitar/especular/contemplar/refletir
parceiro	indivíduo/pessoa/alguém/ser_humano/alma
massacre	assassínio/homicídio/assassinato
febre	sintoma
controlador	empresário
cartão	papel
arroz	farinhas/cereal
andar	estrutura/tecido/edifício/ir/caminhar/andar/ir/caminhar/andar/viajar/ir/caminhar/andar/viajar/ir/caminhar/andar
sacrifício	perda/morte/homicídio/assassinato
produtores	criativo/creador/criador
observação	afirmação/declaração/facto/verdade
indicador	dedo/dedo_da_mão
gasolina	hidrocarboneto/combustível/material_com_que_se_aquece/carburante
estúdio	oficina/laboratório/emprego/locais_de_trabalho/trabalho
esconder	esconder/encobrir/omitir/tampar/tapar/acobertar/ocultar/esconder/encobrir/omitir/tampar/tapar/acobertar/ocultar
cultivo	cultivo
confundir	estar/ser
socorro	atividade/ocupação
remédio	produtos_farmacêuticos/medicamento/remédio/droga_medicinal/medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
laboratório	oficina/laboratório/emprego/locais_de_trabalho/trabalho
juízo	documento_oficial/negócio_jurídico/ato/ação/feito/acção
gerir	governar/reger
crença	objecto_mental
compreensão	tendência/força/influência/característica_psicológica
trimestre	tempo/etapa/período
medir	julgar/avaliar/balizar
junção	região/área
instruir	informar/leccionar/instruir/ensinar/lecionar
emprestar	dar/entregar
colher	recipiente/contentor/contêiner/ajuntar/coletar/coligir/reunir/recolher/juntar
cima	região/área
atração	força/qualidade
silêncio	propriedades_acústicas
intervalo	ociosidade
ferimento	machucado/traumatismo/dano/mal/lesão
bebida	líqüido/comida/alimento/nutriente
tecido	anatomia/parte_do_corpo/anatomia/parte_do_corpo/artefato/artefato
sol	luz
seqüência	sequência/série
relevo	objeto/objeto_físico
recriar	fazer/causar/provocar/criar
comprador	consumidor
atualizar	informar
status	condição/situação/estado
pé	suporte/encosto/apoio/suporte/encosto/apoio
esmagar	apertar/pressionar/prensar
embrião	besta/criatura/ser/bicho/animal
costume	hábito/emprego/costume/atividade/ocupação
supervisionar	gerenciar/gerir/administrar
paraíso	região/região
painel	estrutura/tecido/edifício/placa/lousa/chapa
guardar	ter/manter/guardar/segurar/reter/defender/proteger/defender/proteger
fotografia	afiguração/imagem/ilustração/figura/desenho/representação/retrato
explodir	separar/dividir/desmoronar/explodir/arrebentar/estourar
reter	ter/pensar/lembrar
precedente	representante/instância/exemplo
mediador	artista
localização	objeto/objeto_físico
integridade	condição/situação/estado
guia	chefe/líder
dr.	médico
corrida	certame/partida/concurso/competição/torneio/jogo
congelar	virar/mudar/tornar
carência	deficiência/escassez/carência/falta/ausência/necessidade/carência/quantidade/número
assalariado	trabalhador
areia	solo/terra
agradar	estar/ser
acumulação	aumento/acréscimo/crescimento/incremento/acumulação
universo	objeto_natural/objeto_natural
traço	anatomia/parte_do_corpo
roubo	furto/roubo/crime
jogar	propulsionar/propulsar/tocar/impulsionar/apostar/jogar/competir/concorrer
cor	corante/cor/colorante/tinta/aspecto/aparência/semblante/camada/capa
coincidência	acidente/coincidência/ocorrente/acontecimento/ocorrência
visitante	visita/visitante/turista/viajante
uniforme	vestimenta/roupa/vestido/traje/vestuário
trair	iludir/lograr/enganar/desinformar/enganar
significado	significância/significação/intenção/significado/significância/significação/intenção/significado/mensagem/assunto/tópico/conteúdo
seqüestrar	tomar/capturar/pegar
recorde	número
jogador	competidor/contendor
gestor	gerente/administrador
frio	temperatura_do_ar/calor/temperatura/temperatura
feição	propriedade/característica/atributo/predicado
estimativa	afirmação/declaração
desacordo	confronto/recontro/conflito
cavalo	ungulados/equino/equídeo
recepção	festa/saudação/saudação/reconhecimento
rapidez	condição/situação/estado
noção	concepção/idéia/conceito/ideia/característica_psicológica
moradia	alojamento/abrigo/casa
minimizar	informar
domicílio	endereço/alojamento/abrigo/casa
afinidade	conexão/relação
teste	comunicado/comunicação/uma_comunicação/investigação
tecidos	anatomia/parte_do_corpo
procura	pesquisa/investigação/busca/procurar/buscar
matemática	disciplina_cientifica/ciência
fortuna	fenômeno/fenómeno
comparação	conexão/relação
supor	especular/antecipar/antecipar
s	unidades_de_tempo/unidade_de_tempo
respaldar	suportar/ajudar/apoiar
milagre	ocorrente/acontecimento/ocorrência/acontecimento/fato/evento
medo	ansiedade/preocupação/ânsia/consternação/temor/medo/terror/consternação/temor/medo/terror/emoção/comoção/abalo/sentimento
girar	girar/rodar/dar_a_volta/virar-se/tornar-se/virar/deslocar/mexer/mover
chinês	meios_de_comunicação/mídia
cantor	músico/instrumentista/instrumentalista/tocador
campeão	concorrente/desafiante/rival/competidor/contendor
rota	fronteira
reger	governar/reger
pergunta	pergunta/questão/inquérito
panfleto	livro
matriz	array/ordem/informação/escritório
infração	crime/ofensa
fantasma	ser_sobrenatural/espirito
cuidado	trabalho/tarefa
cotação	afirmação/declaração
conexão	estado/ligação/união/amizade/conhecido/conhecida/amigo/memória/transporte/transferência
assessoramento	proposta
ajustar	acertar/ajustar/corrigir/mudar/modificar/alterar/alterar/mudar
revitalização	progresso/melhoria
retrato	afiguração/imagem/ilustração/figura/desenho/representação
plástico	sólido/matéria_sólida/sólida
petição	mensagem/assunto/tópico/conteúdo
moça	menor/juvenil/jovem/fêmea
intérprete	intérprete/artista
certeza	crença/opinião/fé/convicção
bombeiros	guardião/protetor/defensor/guarda
acrescer	mudar_a_dimensão
verso	género_literário/gêneros_literários/gênero_literário
vegetal	hortifruti/hortifruto/ser/organismo
usuário	indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
tamanho	grandeza/número/magnitude/grandeza/número/magnitude
premiar	fazer/agir/atuar
exortar	encorajar/alentar
escolas	edifício/prédio
deferir	autorizar/permitir
currículo	informação
vermelho	custo
sorte	fenômeno/fenómeno/fenômeno/fenómeno
reservatório	lago
receio	dúvida/incerteza
raíz	órgão_vegetal/órgão
penalidade	controle_social
palma	árvore
habilidade	habilidade/habilidade/talento/habilidade/meta/técnica/poder/capacidade/talento/habilidade/qualidade
forjar	construir/confeccionar/fabricar
fabricar	pensar/inventar
especialidade	habilidade
emendar	melhorar/aperfeiçoar
desenho	afiguração/imagem/ilustração/figura/desenho/representação/afiguração/imagem/ilustração/figura/desenho/representação
aparato	equipamento/ferramenta
acréscimo	aumento/acréscimo/crescimento/incremento/processos_físicos
aclamar	gesticular
tecer	construir/confeccionar/fabricar/construir/confeccionar/fabricar
rito	hábito/emprego/costume
inscrição	entrada/ingresso
folheto	livro
fabricante	fazedor
escuta	investigação
dobrar	torcer/dobrar/curvar/vergar/deslocar/mexer/mover/mudar_a_superfície
veterano	militar
variação	alteração/mudança/variação/modificação/ocorrente/acontecimento/ocorrência
segredo	informação
poço	passagem/buracos_escavados
objeção	atos_da_fala/acto_de_fala
multiplicar	calcular/computar
motor	motor/motores
equívoco	falha/insucesso
detalhe	facto/verdade
computador	maquinaria/máquina
colapso	colapso/ocorrente/acontecimento/ocorrência
ator	intérprete
substância	materiais/matéria/substância
roque	estrutura/tecido/edifício
recrutar	protocolar/registar/registrar/engajar/empregar/enlistar
parar	protestar/parar/interromper
motivação	característica_psicológica
matrimônio	estado_civil
jurisprudência	acúmulo/aglomeração/colecção/coleção
finalizar	terminar/finalizar/concluir/encerrar
argumentação	razoamento/raciocinio/argumentação/raciocínio
viúva	mulher
submissão	mensagem/assunto/tópico/conteúdo
rotina	processo/procedimento
reversão	reorientação
resgatar	trocar/tirar/remover/retirar
lixo	resíduo/resíduo_sólido/lixo/resíduo/resíduo_sólido/lixo/materiais
inverter	mudar/modificar/alterar
elenco	organização/reunião
dona	mulher
coragem	ânimo
contorno	limite/fronteira/fronteiras
consentimento	aplauso/aprovação
combinação	acúmulo/aglomeração/colecção/coleção
coleção	grupo/agrupação/conjunto
aventura	industria/comércio/negócio/empresa/projeto/tarefa
som	sensação/som
reconquistar	receber/obter/comprar/adquirir
lote	gleba/terreno/região
incerteza	qualidade
erguer	deslocar/mover
enumerar	achar/determinar
endereçar	iniciar/abordar/encetar
cartel	sindicato/consórcio
assassino	indivíduo/pessoa/alguém/ser_humano/alma
acenar	gesticular
tumulto	violência/força
restituir	pagar
precariedade	qualidade
orientador	superior/autoridade
notar	falar/contar/dizer
injúria	comportamento/conduta/maltrato
contraste	oposição
compositor	musico/músico/músico
carnaval	apresentação/exibição
alugar	dar/entregar
almoço	repasto/refeição
alma	espírito/alma/ser_sobrenatural/espirito/causa/causador/ser/organismo
variável	soma/número/quantidade
tocar	soar/ressoar/fazer/apresentar/fazer/desempenhar
mesada	atribuição
intento	meta/alvo/intenção/objectivo
incitar	fazer/causar/provocar/criar
deportar	expulsar
cultivar	adequar/ajustar/adaptar
comoção	desordem/bagunça
cesta	recipiente/contentor/contêiner
arrastar	tirar/puxar/arredar
resumo	afirmação/declaração
piso	estrutura/tecido/edifício
mentalidade	atitude
ditar	proclamar
confusão	desordem/bagunça/engano/falha/equívoco/erro
catedral	igreja/templo/igrejas
atirar	propulsionar/propulsar/tocar/impulsionar/lançar/atirar/jogar/lançar/atirar/jogar
aplaudir	gesticular
reconciliar	acordar/concordar/aceitar
ouvinte	pupilo/estudante/aluno
músico	artista/artista
materiais	substância
litígio	procedimento_legal/procedimento_legal
expirar	virar/mudar/tornar
estudioso	intelectual/intelecto
enterro	funeral/enterro/funeral/cerimónia/cerimônia/festa
contraposição	oposição
canto	lugar
soltar	deslocar/mover
sindicatos	organização
roubar	trapacear/defraudar/calotear/segurar/agarrar/capturar/pegar
relevância	relação/ligação
ordenamento	prescrição/normas_jurídicas/norma/regra
menino	descendente/descendência/filho/macho/varão/homem
indagar	transmitir/comunicar
deteriorar	avariar/danificar/decair/piorar
dedicação	cooperação/colaboração
conformidade	cooperação/colaboração
carregar	prover/suprir/abastecer/fornecer/deslocar/mover/deslocar/mover/colocar/carregar/botar/pôr/transportar/levar/carregar/transportar/levar/carregar
tragédia	azar/má_sorte/infortúnio
salvação	segurança
pugnar	disputar/lutar/brigar
ponderar	ruminar/ponderar/cogitar/especular/contemplar/refletir/raciocinar/cogitar/pensar/refletir
percepção	processo_cognitivo_básico/processo_cognitivo_básico
hábito	hábito/emprego/costume/atividade/ocupação
grampo	investigação
cronograma	lista/listagem/lista_numerada
avó	avó/avós/avô
órbita	rota/caminho/percurso/itinerário/estrada/linha/itinerários/extensão/alcance
telefonar	telecomunicar
roda	máquina/máquina_simples
parâmetro	fator
migração	traslado/movimento/deslocamento
especular	investir/antecipar/raciocinar/cogitar/pensar/refletir
equipar	prover/suprir/abastecer/fornecer
capturar	receber/obter/comprar/adquirir/agarrar/pegar/tomar
aparelhar	prover/suprir/abastecer/fornecer/virar/mudar/tornar
alvorada	hora
alegria	emoção/comoção/abalo/sentimento
votante	cidadão/cidadã
suportar	financiar/manter/deixar/permitir/consentir
provimento	atividade/ocupação
poluição	contaminação
passaporte	documento_oficial/negócio_jurídico
narrar	informar
metro	instrumentos_de_medida/instrumentos_de_medição/metro/instrumento_de_medida
herói	chefe/líder
corredor	desportista/atleta
condutor	materiais/manipulador/operador
chave	lista/listagem/lista_numerada/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
atestado	documento/documentação
admiração	afeição
virar	virar-se/tornar-se/virar/deslocar/mover/deslocar/mexer/mover/deslocar/mexer/mover/transformar/transmutar/mudar
torre	estrutura/tecido/edifício
saudação	reconhecimento
resíduo	resíduo/resíduo_sólido/lixo/materiais
parada	pausa/intervalo/permanência
metodologia	técnica/método/método/metodo/métodos/técnica/método/método/metodo/métodos
imaginar	imaginar
ilustrar	elaborar/expandir/elocubrar/expor
estourar	separar/dividir/desmoronar/explodir/arrebentar/estourar
cavaleiro	turista/viajante
cais	porto
bombardear	atacar/assaltar
alçar	deslocar/mover
agradecer	passar/transmitir
acúmulo	acumulação/acúmulo/aglomeração/colecção/coleção/grupo/agrupação/conjunto
supervisor	orientador/supervisor/superior
subida	formação/formação_geológica
retaliação	retribuição
reprodução	afiguração/imagem/ilustração/figura/desenho/representação/reprodução/cópia
renome	honra/fofoca/bisbolhetice/bisbilhotice
proveito	predominância/vantagem/benefício
lidar	fazer/agir/atuar/iniciar/abordar/encetar
exagerar	desinformar/enganar
crer	crer/acreditar
banquete	repasto/refeição
alumínio	metais/metais/metal
vislumbrar	observar/mirar/olhar/ver
semente	fruto/fruta
repouso	suspensão/pausa/interrupção
prover	dar/entregar
prosperar	virar/mudar/tornar
fama	honra/fofoca/bisbolhetice/bisbilhotice
cemitério	locação/sítio/lugar
celebração	recreaçao/diversão
camisa	camisa/artigo_de_vestuário/roupa/vestuário
ativar	mudar/modificar/alterar
abrigo	segurança/estrutura/tecido/edifício/alojamento/abrigo/casa
terror	consternação/temor/medo/terror/emoção/comoção/abalo/sentimento
ribeira	encosta/ladeira/subida/costa/declives/declive
raiz	órgão_vegetal/órgão/lugar
perturbar	desgostar/desagradar/emocionar/disturbar/perturbar/parecer/impressionar/comover/afetar
pensador	intelectual/intelecto
pavilhão	emblema/naipe
ofensa	comportamento/conduta/transgressão
gerenciar	sobreviver/aguentar/lidar/virar-se
exibição	apresentação/exibição
errar	viajar/ir/caminhar/andar
comercializar	mudar/modificar/alterar
coletar	receber/obter/comprar/adquirir
cirurgião	dr./doutor/médico
chuva	precipitação/precipitação_atmosférica
certificado	documento/documentação
calamidade	azar/má_sorte/infortúnio
apertar	apertar/pressionar/prensar/agarrar/segurar
verão	estação_do_ano/estação/tempo/sazão/período
trem	transporte_público/transportes_públicos/transportes_públicos/transporte_publico
revés	ocorrente/acontecimento/ocorrência
raio	luz
pão	fornada
protelar	adiar
mapa	afiguração/imagem/ilustração/figura/desenho/representação/mapa
encobrir	esconder/encobrir/omitir/tampar/tapar/acobertar/ocultar/esconder/encobrir/omitir/tampar/tapar/acobertar/ocultar
disparar	voar
disfarçar	esconder/encobrir/omitir/tampar/tapar/acobertar/ocultar
certidão	documento/documentação
atmosfera	gás
apagar	tirar/remover
ambição	anseio/apetite/pretensão/desejo/disposição
aldeia	municipalidade/município/comunidade
acampamento	locação/sítio/lugar
socorrer	suportar/ajudar/apoiar
semelhança	semelhança/similardidade
raposa	cão/canídeo/cão/canídeo
otimismo	disposição/temperamento
oferecimento	atos_da_fala/acto_de_fala
estacionamento	espaço
disco	placa
consentir	concordar/aprovar/consentir/aceitar/concordar/aprovar/consentir/aceitar
cereal	farinhas/cereal
centavo	divisa/prata/peça/moeda
atleta	competidor/contendor
soberano	governante/governador/chefe_de_estado/chefe_de_estado
roupa	vestimenta/roupa/vestido/traje/vestuário/roupa/traje/vestuário/vestido
procedência	lugar
pressupor	antecipar
pintor	artista
montanha	elevação/elevação
jantar	repasto/refeição/comer
grão	partícula/átomo
encorajar	induzir
caridade	doação
bar	quarto/aposento/sala
abastecer	dar/entregar
abaixo-assinado	mensagem/assunto/tópico/conteúdo
árvore	planta_lenhosa
visto	nome_de_batismo/primeiro_nome/nome_próprio/prenome/nome/antenome
vapor	vapor
tópico	mensagem/assunto/tópico/conteúdo
requisição	mensagem/assunto/tópico/conteúdo
quitar	partir/abandonar/deixar/sair/largar
presa	besta/criatura/ser/bicho/animal
povoado	municipalidade/município/comunidade
placa	estrutura/tecido/edifício/bloco
percurso	fronteira
patriota	súdito/cidadão
monumento	estrutura/tecido/edifício
metais	elemento_químico/elemento_químico/elemento_químico/elemento_químico
maquinaria	maquinaria/máquina/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
luto	pesar/tristeza
impressionar	parecer/impressionar/comover/afetar
galeria	quarto/aposento/sala
fracassado	infortunado/desventurado/desafortunado
flora	acúmulo/aglomeração/colecção/coleção/ser/organismo
discriminar	distinguir/separar/diferenciar
descer	descer/baixar/cair
depressão	crise/formação/formação_geológica
correlação	reciprocidade
cifra	custo
calçado	calçado/calçados/calçado/calçados
biologia	acúmulo/aglomeração/colecção/coleção
auto	veículos_motorizados
aurora	hora
apostar	apostar/jogar
vagar	viajar/ir/caminhar/andar
táxi	auto/veículo/carro/automóvel/viatura
sal	aromatizante/condimento/tempero
ritual	hábito/emprego/costume
repetição	processos_físicos
pânico	consternação/temor/medo/terror
naturalizar	adequar/ajustar/adaptar
mobiliário	móvel/mobília/mobiliário
merenda	repasto/refeição
manufaturar	pensar/inventar
maconha	traqueófitos/planta_vascular
janela	abertura
espectador	indivíduo/pessoa/alguém/ser_humano/alma
ensinamento	atividade/ocupação
dor	mágoa/pesar/tristeza/desgosto/dor/angústia/dor/dor
desculpa	reconhecimento
concitar	fazer/causar/provocar/criar
cigarro	rolo_de_tabaco
boca	caminho/acesso/estrada/abordagens
armazenamento	colocação/depósito
aprimorar	melhorar/aperfeiçoar
