o	autorização/letra/caractér/carácter
tremor	movimento/sismo/terramoto/terremoto/mudança/aljava
astro	natureza
empregador	líder/chefe
requisição	demanda
empurrão	progressão/avanço/propulsão/impulsão
cônsul	diplomata/embaixador
manto	epiderme/estrato/camada
bandido	gatuno/criminoso/ladra/ladrão
contador	contabilista/controlador/empresário/metro
suor	secreção
manequim	servente/ajudante/servidor/assistente/adjunto/criado
sinceridade	naturalidade/seriedade/veracidade/solenidade
prescrição	lei/instrução
valência	poder
californiano	estado-unidense/norte-americano
bife	corte/filé/vianda/carne
mal-entendido	interpretação/objetivo/opinião/ideia/conceito/pensamento/idéia/propósito/intenção/objectivo/finalidade/intento/erro
certificação	verificação
subsolo	solo/terra
tumulto	força/violência
brutalidade	crueldade
homicida	criminoso/assassino/matador
cavalheiro	varão/macho/homem
prólogo	introdução
reacionário	conservador
conclave	reunião
utilitário	programa
acorde	nota/tom
viúvo	varão/macho/homem
carroçaria	edifício/tecido/estrutura
drenagem	evacuação
agradecimento	adoração/aceitação/reconhecimento
sacro	osso
orla	formação
escuridão	localidade/iluminação/cena
ressurreição	revivalismo/progresso/melhoria/revitalização/ressurgência
celta	europeu
eclipse	pausa/interrupção
legião	multidão/montão/turba/exército
ciúme	inveja
pseudónimo	nome/prenome
prelado	sacerdote/pastor/presbítero/clérigo/padre
tertúlia	quarto/câmara/aposento/sala
pensionista	beneficiário
menu	lista/listagem
miniatura	cópia/reprodução
coabitação	habitação
beco	rua/caminho/estrada/trilha
ânsia	entusiasmo/emoção/abalo/comoção/sentimento
comprimido	dose
burocrata	serventuário/funcionário
refeitório	quarto/câmara/aposento/sala
cinismo	filósofo/pessimismo
detective	polícia/agente/policial/guarda
carioca	brasileira/brasileiro
contágio	incidente/evento
sensualidade	concupiscência/cio/eros
arame	ligamento
delimitação	fronteira/limite
monólogo	idioma
luxemburguês	europeu
toalha	pano
hóspede	visita/visitante
robô	máquina/mecanismo
fiabilidade	responsabilidade
tracção	fricção/atrito
feição	propriedade/característica/predicado/atributo
moderador	intercessor/presidente/mediador
pombo	pomba
impulsionador	anunciante
gêmeos	alma/irmã/irmão/indivíduo/alguém/pessoa
anseio	entusiasmo/sentimento/emoção/impressão/apetite/pretensão/desejo
destituição	empobrecimento/pobreza/miséria
alicerce	base
claustro	pátio/terreiro
kitsch	arte/belas-artes
caixão	caixa
mágoa	inchaço/traumatismo/lesão/mal/dano/tristeza/pesar
negação	proposição/asserção
creme	escol/lacticínio/laticínio/elite
enfermagem	quarto/câmara/aposento/sala
modéstia	decência/decoro
recruta	militar
pretendente	alma/indivíduo/alguém/pessoa/candidato/solicitante
fardo	pacote/embalagem/penca/feixe/molho/dor-de-cabeça/preocupação
capitania	posto/cargo/posição
multibanco	banqueiro
logística	fornecimento/abastecimento
estadista	político
passadeira	faixa/caminho/estrada/trilha
ancestral	parente
homônimo	alma/verbo/palavra/termo/vocábulo/indivíduo/alguém/pessoa
auspício	endosso
petroleiro	cargueiro
cronista	acadêmico/estudioso/erudito/especialista/historiador
malta	reunião
lâmpada	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/candeia/alfaia/mobiliário/movéis/mobília/móvel/luz
moratória	adiamento/pendência/suspensão/pausa/demora
skinhead	rufião
nadador	turista/viajante/atleta
violador	assaltante/depravado/libertino/agressor/atacante/criminoso
espessura	dimensão/magnitude/amplidão/extensão
centralismo	política
bailarino	intérprete/bailarina/dançarino/dançarina
veneno	substância
fabricação	edificação/produção/construção
máxima	expressão/locução/provérbio/ditado/idioma
vibração	onda
atrocidade	crueldade
flecha	marco/ponto/projéctil/projétil/míssil/torre/roque
primazia	importância
beira-mar	costa/margem/praia/litoral/ribanceira/orla
tópico	coisa
demarcação	diferenciação
histeria	terror/consternação/temor/medo/susto
drogado	adicto/viciado
paralisia	disfunção
batida	porrada/som/choque/realização/contato/toque/proeza/façanha/feito/golpe/ruído/bebida
condecoração	prêmio/galardão/prémio
apito	som/ruído
radicalismo	ideologia
senior	adulto
consultoria	prática
y	letra/caractér/carácter
eternidade	intervalo/tempo/ser/existência
metamorfose	transformação
swing	jazz
ária	canção/cantiga
trompetista	tocador/instrumentista/instrumentalista/músico
fluido	matéria/substância
reverso	oposição
hardware	componente/parte
afinação	calibração
velhice	idade/época/período
consolação	assistência/socorro/ajuda
operacionalidade	handicap/benefício/lucro/utilidade/vantagem
cultivo	produção/cultura/campo
baptismo	batismo
heterossexual	alma/indivíduo/alguém/pessoa
análogo	semelhança
noivo	amante/participante/amado/varão/macho/homem/recém-casado
inseto	insecto/artrópode
brecha	ambiguidade/vão/fenda
enterro	cerimónia/festa/cerimônia/funeral
cônjuge	marido/parente/cara-metade/esposo/consorte/colega/homem/esposa
fraternidade	sociedade/estrato/classe/guilda/ordem/clube
fragmentação	armazenamento/divisão
conterrâneo	cidadão
prospecção	terreno/campo/disciplina/domínio
perversão	mal/maldade
planalto	colina/barranco/monte/morro/montanha/ladeira
cessação	conclusão/término/fim/cabo
colete	vestuário/roupa
paternidade	parentesco/relação
ordenação	designação/nomeação/organização
nativo	criatura/alma/indivíduo/alguém/pessoa/organismo/ser
lancha	propulsão/impulsão
repertório	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
hall	prédio/edifício/quarto/câmara/aposento/sala
anarquia	bagunça/desordem
sindicalismo	organização
cargueiro	navio/embarcação/barco
elástico	faixa
pensador	intelectual/intelecto
promiscuidade	sexo/transa
nicho	concavidade
alcoolismo	mania/toxicomania
simbolismo	símbolo/hábito/simbolo/aceno/emblema/sinal/costume
sustentação	amparo/suporte
forasteiro	estrangeiro
cratera	depressão
conexão	relação/transferência/memória/abstração/estado/união/ligação/amizade/amigo/conhecido/transporte
mercearia	granja/quinta/sítio/fazenda
lamento	enunciado/choro/poema/expressão/pranto/berro/grito/poesia
tablóide	folha/jornal
oportunismo	egoísmo
travesti	alma/indivíduo/alguém/pessoa
costura	bordado
anexação	compra/incorporação/aquisição
guru	líder/chefe
cativeiro	confinamento
historial	crônica/crónica
radiografia	ilustração/figura/imagem/retrato/desenho/fotografia/foto
tourada	espetáculo
trilho	barra/trilha/estrada/caminho
junção	ligação/região/área/conector/combinação
assalariado	trabalhador
retardar	ociosidade
relutância	temperamento/disposição
abstracção	ideia/idéia/concepção/conceito
aeródromo	aeroporto/instalação/infra-estrutura/serviço
apuro	dificuldade/problema
pesticida	química/substância
escape	acção/escapatória/fuga/ação/ato/feito
revestimento	estímulo/estimulante
aroma	odor/cheiro/hálito
amoreira	fruta/fruto/baga
aparelhagem	mobiliário/móvel/mobília
coexistência	ser/existência
légua	associação/união/ordem/sociedade/organização
vulnerabilidade	debilidade/astenia/perigo
superpotência	união/república/nação/país
ímpeto	impulso/empurrão/impulsão/forca
pegada	toque/marca/contato
analogia	raciocínio/comparação/inferência/dedução
porcelana	cerâmica
cogumelo	legume/verdura/hortaliça/vegetal
boneca	boneco/brinquedo
pacifista	adulto
delinquência	culpado/estado/situação/condição
nau	galeão
pilhagem	agressão/hostilidade/saque
czar	monarca/suserano
distracção	diversão/divertimento/entretenimento
dádiva	ocorrência/evento/acontecimento/aquisição
mentiroso	trapaceiro
banalidade	comentário/observação
vector	recta/variável
mecânica	física
pimenta	condimento/tempero
átomo	substância
síndrome	sintoma
feitio	estilo/maneira
maquinista	operador/manipulador
simplificação	mudança
banquete	night/alimentação/jantar/balada/reveillon/repasto/refeição/acontecimento/festa
vicissitude	mudança/variação/flutuação
salada	prato
bibliografia	lista/listagem
reavaliação	valorização/melhoramento/apreciação/avaliação
proveito	handicap/benefício/lucro/utilidade/vantagem
indecisão	incerteza/dúvida
bónus	mostra/amostra
bovinos	bovídeos
defunto	cadáver/natureza/morto/corpo
raptor	criminoso
hemisfério	região
estante	prateleira/alfaia/apoio/suporte/encosto/mobiliário/movéis/mobília/móvel
presunção	auto-estima/suposição/hipótese/pressuposição/orgulho
flora	montão/colecção/ruma/chusma/coleção/grupo/aglomeração/criatura/organismo/ser
separador	aparato/aparelho/equipamento
dissidência	divisão/alma/indivíduo/alguém/pessoa
couro	pele
mamífero	vertebrado
deportação	expulsão/exclusão/proscrição/banimento
trave	viga/pedaço/peça
delegada	representante
h	letra/caractér/carácter
conservatório	escola/departamento/instituto/colégio
esmola	atribuição/doação/contributo
assessoria	posto/prática/cargo/posição
estagiário	médico/novato/principiante/doutor
jejum	abstinência
vaidade	auto-estima/orgulho/peculiaridade/feição
calcanhar	esqueleto
brinde	dom/bebida/dádiva/presente/doação/aquisição
deserção	retirada/rejeição
singularidade	personalidade/individualismo/individualidade
coxa	porção/membro/perna
controlador	utilitário/máquina/mecanismo/empresário
longa-metragem	película/filme/cinema/produção
sabotagem	destruição/devastação
transcrição	composição
amado	alma/indivíduo/alguém/pessoa
decomposição	atividade/apodrecimento/deterioração
meditação	especulação/consideração/contemplação/pensamento/reflexão
exaltação	adoração
herdeira	destinatário
cobra	serpente/ofídio
chaminé	casa/lareira/estrada/nicho/lar/aposento/moradia/habitação/residência/morada/domicílio
híbrido	criatura/organismo/ser
animadora	técnico
gangster	criminoso
sofisticação	qualidade
pole_position	posição/local/lugar
lente	órgão
frade	membro/religioso
moldura	estrutura/infra
leme	liderança
ressonância	oscilação/vibração
lã	pano/fazenda/tecido/pelagem/cabelo/pêlo/corda
nulidade	ato
cozinheiro	cozinheira
álibi	justificação
porteiro	guarda
cebola	caule/legume/verdura/hortaliça/vegetal/bolbo/tronco
basebol	bola
prodígio	menino/gênio/jovem/criança
estirpe	variedade
piedade	misericórdia/ajuda/socorro/assistência/sentimento/emoção/impressão/humanidade/simpatia/compaixão/camaradagem
patriotismo	lealdade
suborno	crime/pagamento/recompensa
funk	jazz
dique	terrapleno/obstáculo/barreira
whisky	álcool
cunhado	parente
testa	traço
aprendiz	principiante/novato
marquês	par/lorde/nobre
pólvora	explosivo
amadora	alma/indivíduo/alguém/pessoa
fatalidade	morte
oliveira	madeira
denominador	divisor
rastreio	caçada/perseguição
assobio	som/ruído
video	gravação
virtuoso	musico/músico
pata	marcador
sobra	pano/restante/resíduo/resto/excedente/porção/categoria/parte/componente
asteróide	estrela/astro
perdedor	desafortunado/desventurado
pedreiro	artífice/artesão
magnitude	proporção/qualidade/preço/abstração/atributo/razão/taxa/número/grandeza/importância
magnata	governador/governante/empresário/negociante/comerciante
escandinavo	europeu
capitalização	estimativa/venda/desenvolvimento/avaliação/cálculo/exploração
subvenção	subsídio/fornecimento/bolsa/abastecimento
derrame	ataque
subversivo	radical
tapeçaria	tapete/mobiliário/móvel/mobília
retaguarda	destacamento
revólver	pistola
lituano	europeu
lutador	combatente/alma/indivíduo/alguém/pessoa/guerreiro/lutadora
estupidez	equívoco/incapacidade/falha/erro/engano
iminência	condição/estado/situação
rolo	cilindro/manuscrito
mansão	casa/habitação/vivenda
meandro	curva/arco
lápis	figura
compartimento	sala/aposento/câmara/quarto
especificação	restrição
credo	doutrina/filosofia
segurador	intermediário/broker/corretor
moscovita	russo
contrariedade	incômodo/moléstia
estrangeira	turista/viajante
patrono	comprador/cliente/consumidor/freguês/santo/guardião/tutor/defensor/guarda
fiasco	colapso/equívoco/falha/erro/engano/desmoronamento/desabamento
manta	colcha/cobertor
recheio	mistura
resignação	desespero
sinergia	atividade
epíteto	caracterização/descrição/caraterização
raridade	escassez/objeto
ramal	telefone
antibiótico	bactericida
cosmopolita	adulto
desconforto	estado/situação/condição
terminologia	verbo/palavra/termo/vocábulo
vetor	recta/variável
menor	alma/interesse/caso/indivíduo/alguém/pessoa
narração	relato/relatório
dramatização	autoria/representação
ex	varão/mulher/macho/homem
lunar	defeito
anarquista	radical
hemodiálise	diálise
dogma	evangelho/credo/doutrina/filosofia
carnaval	exibição/apresentação
idiota	imbecil/alma/indivíduo/alguém/pessoa/bobo/tolo/estúpido/simplório
carnaval	festival
evangelização	pregação/prédica/sermão
aguarela	pigmento
pedofilia	parafilia
fuzileiro	soldado/militar
brochura	livro
feiticeiro	bruxa/ocultista/mago/bruxo/taumaturgo/mágico/sortílego
alheamento	aversão
infelicidade	sofrimento/miséria
predominância	superioridade/domínio
cascata	oceano/água
carimbo	selo/marca
salvador	doador
pornografia	criação
egoísmo	auto-estima/peculiaridade/orgulho/parcimónia/feição
coacção	causalidade/aplicação/execução/imposição/observação/cumprimento/coerção
aquário	tanque/cisterna/viveiro
espinha	acne/esqueleto
ascendência	número/herança
insurreição	rebelião/revolta/luta/conflito
conferencista	alto-falante/locutor/palestrante/falante
odor	sensação/atributo/cheiro/hálito
maquinaria	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/máquina
longevidade	velhice
estrato	região/gente/povo/população/camada
cidadã	cidadão
asfixia	homicídio/assassinato/morte
patologia	medicina
rústico	construção/caipira/edificação
concha	vasilhame/carapaça/vasilha/vaso
cubo	sólido/número
fadiga	nervosismo/tensão
pertinência	ligação/relação
referencial	sistema
presa	vítima/animal/dente_canino/criatura/bicho/ser/besta
devedor	alma/indivíduo/alguém/pessoa
indulto	clemência/perdão/misericórdia
merda	dificuldade/problema/evacuação/defecação/excreção/excremento/resíduo
celebridade	honra/personagem
veemência	intensidade
congestionamento	multidão
sobrecarga	preço/carga/custo
olimpíada	período/etapa/tempo
tributo	imposto/extorsão/aplauso/pagamento/aprovação
carrasco	verdugo/assassino/matador/algoz
sobriedade	seriedade
tecnocrata	político
recipiente	garrafa/continente/contentor/caixa/jarro/vaso/vasilha
cúmulo	nuvem/nuvens/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
afluente	córrego
microprocessador	microchip/ci/chip
atestado	documentação/documento
extremidade	região
satisfeito	felicidade/alegria
quadrilha	reunião
estigma	símbolo/simbolo/aceno/emblema/sinal
legitimação	acção/ação/ato/feito
censo	enumeração/conta/contagem
teto	altura/altitude/capa/fronha
espuma	borbulha/bolha
impaciência	incômodo/irritação/contrariedade
cozido	caçarola/prato/panela
leveza	peso
obstrução	impedimento/manobra/interferência
advento	tempo/temporada/estação
veleidade	desejo/afã
alcatrão	piso/betume
equação	equalizador/equalização
alga	protoctista
modernismo	hábito/costume
protecionista	advogado/representante/defensor/proponente
judia	hebreu/judeu/hebraico/alma/indivíduo/alguém/pessoa
creche	puericultura
texano	estado-unidense/norte-americano
cromossoma	corpo
flagelo	acidente/azar/infortúnio
sátira	humor
matador	alma/indivíduo/alguém/pessoa
veludo	pano/fazenda/tecido
incisivo	dente
religiosa	religioso
barbárie	atrocidade/crueldade
dramaturgia	comunicação/comunicado
cana	prisão/cadeia/presídio/penalty/xadrez/penálti/cárcere
pauta	lista/listagem
social-democracia	ideologia
refrão	música
custódia	vasilhame/confinamento/aprisionamento/vasilha/vaso
constitucionalista	advogado/representante/defensor/proponente
crânio	osso
burgo	município
humanismo	doutrina/filosofia
cortesia	comentário/observação/civilidade
linfócito	leucócito
justeza	honestidade/justiça
intestino	víscera
lava	rocha/pedra
arcada	passagem/viela/corredor/galeria/edifício/tecido/estrutura
bóia	referência
guincho	camião/caminhão
sobremesa	prato
fulgor	elegância
cume	elevação/área/região/cima/topo/pico
maluco	geek/excêntrico
corolário	raciocínio/inferência/dedução
furacão	ciclone/correnteza/fluxo/corrente
ballet	música
cinematografia	fotografia
suíno	porco/ungulados
passatempo	jogo/diversão
provocador	desordeiro
meteorologia	prognóstico/previsão/predição
taberna	taverna/boteco/prédio/edifício
secessão	separação
raso	oceano/água
voga	moda
clichê	exemplar/exemplo
sensor	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
apóstolo	estudante/caçador/adepto/discípulo/seguidor/aluno/cristã/cristão
correlação	reciprocidade
irreverência	atitude/maldade/imoralidade
silhueta	contorno/pintura/borda/figura/desenho/imagem/ilustração
redefinição	definição
extorsão	crime
cartoon	humor
habitabilidade	adequação/idoneidade
falésia	formação
vulgo	gente/povo/população
agilidade	graça
encruzilhada	junção
patriota	cidadão
taco	prato/porrete/clava
urbe	município
morosidade	lentidão
juramento	promessa
panóplia	array/ordem
doador	patrocinador
psicanálise	psicoterapia
gueto	vizinhança/bairro
cola	cimento/refrigerante/refresco/soda
guarda-roupa	quarto/montão/colecção/ruma/chusma/coleção/grupo/aglomeração/câmara/aposento/sala
acelerador	pedal
redenção	salvamento/salvação
transgressão	delito/ocupação/atividade
fervor	ardor/paixão
contenda	competição/concorrência/pugna/peleja/disputa/luta/combate/batalha
cifra	custo/código/codificação
enchente	controlo/controle
bosque	floresta/mata/vegetação/flora/bioma/terra/chão/solo/relevo
salva	tiro
esquerdista	socialista
barítono	cantador/voz/cantor/cantora/vocalista
contracção	redução/diminuição
entreposto	shopping
genro	cunhado
enfermaria	quarto/câmara/aposento/sala
injúria	comportamento/conduta/desfeita/ofensa
individualismo	convicção/doutrina/filosofia/religião/opinião/fé/crença/peculiaridade/feição
borla	boné/barrete
pastelaria	loja
circunscrição	região
marxismo	comunismo
cobertor	colcha/cobertura/capa
afronta	desfeita/ofensa/injúria
conservadorismo	ideologia
notário	serventuário/funcionário
lojista	comerciante/mercador/negociante
basquetebolista	atleta
lanterna	candeia/lâmpada/luz
remessa	pagamento/recompensa
remake	criação
paranóia	psicose
erotismo	excitação
sermão	bronca/discurso
metragem	filme
contemplação	reflexão/consideração
romena	europeu
viveiro	plantel/estufa/prédio/edifício
sinagoga	igreja/templo
costela	esqueleto/osso
intento	objetivo/propósito/finalidade/objectivo/intenção/meta/alvo
siciliano	italiano/italiana/itálico
reconquista	recuperação
restituição	reparação/compra/reparo/conserto/aquisição
mestria	posto/cargo/posição
urina	evacuação/merda/excreção/excremento/micção
porão	andar/piso/pavimento
festividade	período/feriado/efeméride/etapa/tempo/diversão
mouro	muçulmano
campus	terreno/campo
temperamento	propriedade/característica/predicado/atributo
aberração	anormalidade
insensibilidade	incapacidade
maldição	encantamento/denúncia/feitiço
temperamento	natureza/índole
gratidão	sentimento/emoção/impressão
adido	pasta/teca/carteira/maleta
fenda	abertura/impressão/vão/racha/fissura/fresta/greta/espaço
fazenda	granja/possessão/quinta/sítio/utensílio/artefato/produto/mercadoria/artigo/bem/propriedade/trabalho/laboratório/oficina/emprego/imóvel
finalização	conclusão
radioactividade	capacidade/emissão
caracol	gastrópodes/tubo
exactidão	exatidão/correção/rigor/precisão/qualidade
cosmonauta	turista/viajante
penso	atadura/curativo
mochila	bolsa/bagagem/mala/embrulho/saco/carteira/sacola
contentamento	aceitação/felicidade/alegria
cal	óxido/branco/brancura/cândido/alvo
endurecimento	atividade
equivalência	status/posição/classe/condição/estado
renome	bisbilhotice/fama/reputação/fofoca/honra
desmembramento	mutilação/tortura
viticultor	agricultor/agrônomo/cultivador
trincheira	vala/terrapleno/fossa
abatimento	modificação/decréscimo/reembolso/variação/alteração/mudança/declínio/redução/diminuição
amostragem	selecção/escolha/seleção
casca	objeto/pele/crosta
ex-mulher	mulher
brasa	moça/garota/rapariga/mulher/senhorita
ventre	anatomia
automobilismo	carreira/corrida
bagageira	compartimento
garoto	menino/macho/varão/homem/infante/rapaz/moço/criança
pub	taberna/taverna/boteco
alento	ar
animosidade	hostilidade/inimizade/repulsa/ressentimento/aversão
paralelismo	semelhança
campismo	locação/lugar/sítio
vigia	tarefa/designação/janela
neozelandês	morador/habitante
limão	citrino/amarelo
anta	ungulados
trinco	apêndice
perícia	habilidade
termos	status/posição/classe/condição/estado
pénis	falo/verga/pênis/pinto/caralho/membro
segregação	separação
hemorragia	inchaço/traumatismo/lesão/mal/dano
calúnia	ataque
naipe	baralho/carta/ornamento
galês	europeu
papagaio	brinquedo/ave/pássaro
clientelismo	organização
vilão	papel/personagem
convés	tablado
refrigerante	bebida/refresco/soda
chancelaria	posto/cargo/posição
baixista	investidor/tocador/instrumentista/instrumentalista/músico
arrastão	pesqueiro
saque	pilhagem/agressão/hostilidade
jazida	ambiente/região/território
desmoronamento	ocorrência/evento/acontecimento
uníssono	voz/som
aguardente	álcool
combustão	oxidação
diesel	carburante/combustível
revisor	gráfico/crítico
vagabundo	peão/pedestre
interregno	intervalo
baldio	deserto/mato
odisseia	jornada/viagem
delta	formação/aluvião/letra/caractér/carácter
cápsula	pílula/comprimido
avalanche	rebaixamento/descida
desabamento	desmoronamento/colapso/ocorrência/evento/acontecimento
esperma	gameta
ogiva	explosivo
colunista	jornalista/periodista
curto-circuito	tangência
profecia	prognóstico/previsão/predição/agouro/augúrio/presságio
remo	pá/implemento/instrumento/ferramenta
plenitude	atributo/integralidade/inteireza/integridade/estado/situação/condição
exuberância	alegria/entusiasmo
siderurgia	fábrica/usina
universalidade	generalidade
edital	anúncio
coordenada	número
sirene	alarme
moralidade	intenção/motivo/motivação/necessidade/qualidade
licitação	declaração/descrição
coca	arbusto/moita/mato/refrigerante/refresco/soda
compatibilidade	simpatia/qualidade/característica/compaixão/piedade/camaradagem
formulário	documentação/documento
boas-vindas	aceitação
pente	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/munição
linhagem	parentesco/genealogia/relação/conjunto/grupo
constância	fidelidade/lealdade
vacinação	imunização/cicatriz
superação	batalha/pugna/peleja/combate/disputa/luta
nata	escol/creme/lacticínio/laticínio/elite
tipografia	impressão
utensílio	unidade/todo/implemento/instrumento/ferramenta
milésimo	classe/hierarquia/posição/posto
minério	mineral
interligação	ligação/conexão
sueca	europeu
camarote	compartimento/cama/leito
parasita	caçador/criatura/organismo/ser/seguidor
seta	projéctil/projétil/míssil/flecha
distintivo	qualidade/característica/símbolo/emblema
baseado	cigarro
privação	miséria/desvantagem/empobrecimento/pobreza
lenha	carburante/combustível
arca	caixa
frasco	vasilhame/vasilha/vaso/botelha/biberão/garrafa
filão	aluvião/sedimentação
inferioridade	qualidade/calibre
arrependimento	remorso
explorador	alma/indivíduo/alguém/pessoa
pergaminho	manuscrito
fantoche	boneco/boneca
techno	dance_music
maldade	desobediência/mal/ódio/aversão/transgressão/imoralidade/qualidade/estado/situação/condição
terceira	marcha/engrenagem
homilia	pregação/prédica/sermão
canil	refúgio/asilo/abrigo
suspiro	expressão/anseio/enunciado/apetite/pretensão/desejo
atrito	decréscimo/conflito/abatimento/confronto/recontro
salsa	erva/maconha
precursor	alma/indivíduo/alguém/pessoa
infantaria	corpo
apologia	justificação
salina	fábrica/usina
palmeira	árvore/palma
apocalipse	catástrofe/calamidade/cataclismo/flagelo/tragédia/desastre
dualidade	atributo/classe/classificação/categorização
negociante	revendedor/distribuidor/comerciante/mercador/empresário
borrego	vianda/carne
fricção	conflito/empenho/confronto/recontro/esforço
ré	marcha/litigante/engrenagem
deformação	mudança/avaria/dano/estrago/prejuízo/alteração/variação/modificação
cerimonial	regra/prescrição/norma
directriz	gestão/administração
encarnação	tempo/personificação/época/período/momento/era
pontaria	propulsão/impulsão
imperialismo	controlo/ideologia/controle
porcaria	merda
solenidade	ritual/seriedade/sentimento/emoção/impressão
empatia	simpatia/compaixão/piedade/camaradagem
apoteose	modelo/adoração
depuração	limpeza
cabeceira	painel
monsenhor	sacerdote/pastor/presbítero/clérigo/padre
pastel	fornada
condado	classe/domínio/hierarquia/posição/posto/região
estratagema	engano
luminosidade	brilho
busto	escultura
rédea	tira
trator	camião/caminhão
substantivo	verbo/palavra/termo/vocábulo
parvo	idiota/estúpido/simplório
naturalista	filósofo/biólogo/biologista
historiografia	autoria
calcário	rocha/pedra
desânimo	desespero
atum	peixe
poetisa	autor/escritor/poeta
vértice	intersecção/extremo
vértice	lugar
sobreiro	carvalho
desacato	desobediência
lança	implemento/arma/armamento/instrumento/ferramenta
auto-retrato	retrato/pintura
fósforo	isqueiro
estrondo	triunfo/sucesso/êxito/problema
pomar	madeira/jardim/horto
bêbado	beberrão/borracho
canoa	barco
inibição	abstinência/controle
rapper	cantador/cantor/cantora/vocalista
empreendedor	empresário
adjetivo	modificador
fissura	impressão/vão/fenda/racha/fresta/greta
arrefecimento	máquina/mecanismo
lésbica	gay/alma/indivíduo/alguém/pessoa/veado/homo/bicha/sapatão/homossexual
porção	atribuição/fragmento/bocado/objeto/relação/conexão/coisa/pedaço
motociclista	turista/viajante
aranha	aracnídeo
anglicano	protestante
penumbra	sombra
calha	trincheira
totalitarismo	ideologia
simulador	maquinaria/máquina
proporcionalidade	proporção/razão/taxa
liturgia	rito/sacramento
rabi	clérigo
psicanalista	psiquiatra/encolhimento
pecuária	mamífero/agricultura/cultivo
adro	praça
demônio	exclamação
dicotomia	classe/classificação/categorização
amálgama	combinação/liga
jurisprudência	filosofia/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
curta-metragem	película/filme/cinema/produção
ex-jogador	jogador/apostador
industrialização	indústria
triagem	classificação
carteiro	entregador
vitrina	continente/contentor/caixa/jarro/vaso/vasilha/janela
perseguidor	alma/indivíduo/alguém/pessoa/turista/viajante
pastilha	candil/caramelo/bala
jeans	calça
fanatismo	intolerância
armazenagem	retenção
bielorrusso	europeu/eslavo
idoneidade	adequabilidade/conveniência/adequação
trovoada	intempérie/tempestade/tormenta/vendaval/borrasca
acento	tonicidade/prosódia/sotaque/importância/ênfase
ópio	narcótico
povoado	município/comunidade
carvalho	árvore/madeira
fartura	quantidade/abundância
azerbaijano	raça/etnicidade/etnia
alegoria	estilo/conto/estória/história/língua/discurso/linguagem
ressalva	ânsia/ansiedade/preocupação
centralização	reunião/integração
epilepsia	encefalopatia
provérbio	expressão/locução/ditado/idioma
louça	artigo/continente/contentor/caixa/jarro/vaso/vasilha
subtítulo	encabeçamento/título
ventilação	melhoramento/melhoria
cicatriz	defeito/sintoma
secessionista	advogado/representante/defensor/proponente
aposentação	status/posição/classe/condição/estado
tampa	cobertura/capa
advocacia	posto/cargo/posição
progenitor	antecessor/criatura/organismo/ser/antepassado/ancestral
dissuasor	obstáculo/dificuldade/problema
fogão	aquecedor/estância/fornalha/forno
neta	neto/filho/descendente/descendência
vitoriano	alma/indivíduo/alguém/pessoa
aresta	elevação
coeficiente	constante
chance	coincidência/oportunidade/probabilidade/acidente/ser/existência/possibilidade
populismo	doutrina/filosofia
promulgação	proclamação/descrição/pregão/declaração/anúncio/anunciação
feixe	pacote/embalagem/luz/penca/molho/fardo
evangelho	doutrina/filosofia
morro	elevação
senda	trilha/estrada/caminho
lied	canção/cantiga
salmão	rosa/cor-de-rosa/peixe
mobília	equipamento/mobiliário/móvel
dormitório	prédio/aposento/sala/edifício/moradia/habitação/apartamento/quarto/câmara
furor	alma/vida
anca	membro/anatomia/perna
pântano	turfeira/paul
pluvial	capa/manto
lombardo	europeu
subordinação	dependência
compaixão	misericórdia/sentimento/emoção/impressão/humanidade/simpatia/piedade/camaradagem
puta	porco/cortesã/mulher_pública/prostituta/rapariga/quenga/meretriz/rameira/devassa/mulher
nicotina	alcalóide
preguiça	hesitação/aversão/inércia
zoológico	serviço/infra-estrutura/instalação
ditado	princípio/expressão/locução/provérbio/idioma
falsidade	desonestidade/mentira/declaração/descrição
adrenalina	neurotransmissor/hormona
diarréia	sintoma
veste	vestuário/roupa
aficionado	alma/indivíduo/alguém/pessoa
basílica	templo/igreja
vendedora	vendedor
rave	baile
bastão	porrete/implemento/vara/instrumento/ferramenta/pau/clava
cenoura	erva/raíz/raiz/maconha
panela	prato/caçarola/frigideira/louça
piquenique	jantar/repasto/refeição
barbeiro	cabeleireiro/cabeleireira
caldeira	vasilhame/vasilha/vaso
guarda-chuva	toldo
embaixadora	diplomata/embaixador
raposa	matreiro/canídeo/cão
favela	vizinhança/bairro
pipa	brinquedo
confraria	seita
trabalhadora	trabalhador/moça/garota/rapariga/mulher/senhorita
mestiço	criatura/organismo/ser
barómetro	metro
mestiço	alma/indivíduo/alguém/pessoa
prima	parente
soja	feijão/fava
enfarte	doença/patologia
anti-semitismo	racismo
libreto	roteiro/script/guião
emancipação	feito/conquista/consumação/façanha/realização
capote	chapéu/sombreiro
