Arundo	cana-do-reino
Formica	Formica_fusca
cnidários	pólipo/Anthozoa/Hydrozoa/celenterados/medusa/aguá-viva/Medusa/Scyphozoa
Adenanthera	carolina/Carolina
Eslavos	eslavo
Londres	londrino
Cotovia	Alauda
Ranunculaceae	Cimicifuga/Eranthis/Trollius/Anemonella/Consolida/Coptis/Caltha/Aconitum/Adônis/Adonis/Thalictrum/Ranunculus/Actaea/Isopyrum
OEA	Costa_Rica/Uruguai/Chile/O_Chile/Sao_Vicente_e_Granadinas/São_Vicente_e_Granadinas/Jamaica/MEXICO/México/Estados_Unidos_Mexicanos/Mexico/Paraguai/Guatemala/República_da_Guatemala/República_do_Haiti/Haití/Haiti/Santa_Lúcia/República_das_Honduras/Honduras/Barbados/São_Cristóvão_e_Nevis/Saint_Kitts_e_Nevis/São_Cristóvão_e_Neves/Domínica/Dominica/Domingos/Comunidade_da_Dominica/Baamas/Bahamas/Venezuela/Colômbia/Colombia/Colómbia/Granada/República_Dominicana/Panamá/Suriname/Cuba/Trinidad_e_tobago/Trinidad_e_Tobago/Trindade_e_Tobago/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Antígua_e_Barbuda/Equador/República_do_Equador/Bolívia/Bolivia/El_Salvador/Salvador/El_salvador/Argentina/Brasil/República_Federativa_do_Brasil/República_do_Peru/Peru
Sapindales	Hippocastanaceae/Anacardiaceae/Aquifoliaceae/Empetraceae/Celastraceae/Buxaceae/Sapindaceae/Aceraceae
Homoptera	Cicadellidae
Sesamum	gergelim
Comunidade_dos_Estados_Independentes	Bielorrussia/República_da/Ucrania/Azerbaijão/Moldávia/Ucránia/Bielorrússia/Belarus/Ucrânia/Azerbeijão/Tajiquistão/Tadjiquistão/Geórgia/Turcomenistão/Turquemenistao/Turquemenistão/Federação_Russa/Rússia/República_da_Armênia/República_da_Arménia/Arménia/Armenia/Armênia/Cazaquistão/Casaquistão/Cazaquistao/República_do_Cazaquistão/Usbequistão/Uzbekistan/Uzbequistao/Uzbequistão/Quirguistão/quirguiz/Quirguizistão/Quirguistao
Normandia	normando
Xyridaceae	Xyris
Bos	auroque/brâman/Zebu/zebu/iaque/Bos_javanicus/vacum/gado/bovinos/gado_bovino/vaca/boi
Japão	japonês
Strelitziaceae	Strelitzia
Alismataceae	Alisma/Sagittaria
Carnivora	procionídeos/Procionídeos/Felino/Felídeos/Felinos/Mustelídeos/mustelídeos/canídeos/Canídeos/Viverrinae
conjugação	verbo
Psilophyta	Psilotum
Loganiaceae	Logania/Gelsemium
Convolvulaceae	Cuscuta/Argyreia/Calystegia/Ipomoea
Gambusia	Gambusia_affinis
Carina	Canopus
Guatemala	guatemalteco/guatemalense
Orthoptera	ortópteros/Acrididae/Tettigoniidae
Ochnaceae	Ochna
Merostomata	Euriptéridos/Xiphosura
Erodium	gerânio
BENELUX	Luxemburgo/Grão-Ducado_do_Luxemburgo/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Bélgica/Poetas_da_Bélgica/Belgica
Erinaceus	ouriço/ouriço-terrestre/porco-espinho
Península_da_malásia	Malaios/malaio
Ericaceae	Phyllodoce/urze/tojal/charneca/Cassiope/Epigaea/Calluna/Lyonia/Ledum/Gaylussacia/Daboecia/Chamaedaphne/Menziesia/Arctostaphylos/Gaultheria/Vaccinium/Oxydendrum
Tonga	tonganês
República_da_Armênia	armênios/Arménios
norte	ianque/gringo
Pueraria	Pueraria_lobata
Belgica	belga
Fagaceae	Nothofagus/Chrysolepis/Lithocarpus/Castanopsis/faia/Faia/Quercus/Carvalho
torda	Uria/lunda/papagaio-do-mar
Pica-pau	Colaptes/pica-pau/fuinho/Campephilus/Picus/Melanerpes
cordados	Craniata/Cephalochordata
Magnoliidae	Ranunculales
Mesocricetus	Hamster_sírio/Hamster_Sírio/Hamster-sírio
Eslovenia	eslovena/esloveno
matilha	cachorro/cão
Microstrobos	Microstrobos_niphophilus
Peramelidae	Thylacomyidae
Larix	lariço/lariço-europeu/larice/alerce
Stenotaphrum	grama_Sto._Agostinho/Grama_sto._agostinho
empresas	divisão/departamento
Apoidea	abelha_operária/abelha_rainha/abelha-mestra/abelha-operária/abelha-rainha/vespa/abelha/bê/Apidae/Andrenidae
Tamarix	tamariz/tramaga/tramagueira/tamargueira/tamarisco/tamarga
Vicia	Fava
Laos	laosiano
Equador	equatoriano
Hylidae	Hyla
Caprimulgiformes	Podargidae
Hordeum	cevada
Echium	viperina
Pagrus	Pagrus_pagrus
fraternidade	frade/irmão
Canis_Minor	Procyon
hinduísmo	hindu/Movimento_hare_krishna/Movimento_Hare_Krishna
Carica	Mamão
Sicilia	siciliano
México	mexicana/Mexicano/mexicano
conselho	diretor/director
Iguanidae	Basiliscus/Anolis
Colómbia	colombiano
Bauhinia	Bauhinia_variegata
Musophagidae	Musophaga
Aquila	Altair/Águia_real/Águia-rapace/águia-real
Angola	angolense/angola/angolano/hererós/Hereros
Labirintodonte	Stereospondyli/Temnospondyli
Fraxinus	freixo
Congo-Kinshasa	congolês/congolense
Nematocera	maruim/Chironomidae/Psychodidae
Colégio_Cardinalício	cardeal
Musca	mosca/Mosca-doméstica/mosca_doméstica/Mosca_doméstica
Carpobrotus	Chorão-das-praias/Chorão_das_praias
clã	parente
Gadiformes	Gadidae
Liliales	Iridaceae/Hypoxidaceae/Juncaceae/Dioscoreaceae/Haemodoraceae/Agavaceae/Amaryllidaceae/Liliaceae
associação	associado
Tripulação	tripulante
Lonicera	Lonicera_japonica/Lonicera_involucrata/madressilva
máquina_de_guerra	caixilho
MEXICO	mexicana/Mexicano/mexicano
Cnidários	pólipo/Anthozoa/Hydrozoa/celenterados/medusa/aguá-viva/Medusa/Scyphozoa
Organização_dos_Países_Exportadores_de_Petróleo	Arábia_Saudita/India/República_da_Índia/Índia/Emiratos_Árabes_Unidos/Emirados_Árabes_Unidos/Argelia/Algéria/Argélia/República_Islâmica_do_Irão/Pérsia/Irao/Irã/Irão/Kuwait/Coveite/Cuaite/Estado_do_Kuwait/República_Árabe_do_Egipto/República_Árabe_Unida/Egipto/Egito/República_árabe_unida/República_Árabe_do_Egito/Iraque/República_do_Iraque/Estado_da_Líbia/Líbia/Indonésia/Indonesia/República_da_Indonésia/Venezuela/Qatar/Catar
Rhamnaceae	Colubrina/Paliurus/Pomaderris/Ziziphus
Hemiptera	Percevejos/percevejo/Homoptera/insecto/inseto
Abelmoschus	Abelmosco/quiabo/quiabeiro
Canis_minor	Procyon
Bisâncio	bizantino
Luxemburgo	luxemburguês
Osteichthyes	Teleostei
Estados_confederados_da_américa	Texas/Mississippi/Mississíppi/Carolina_do_sul/Carolina_do_Sul/Tennessee/Missouri/Alabama/Carolina_do_Norte/Flórida/Florida/Luisiana/Arcansas/Arkansas/Geórgia/Virgínia
República_Italiana	sabinos/italiano/ítalo/italiana/itálico
Charophyceae	Desmidiaceae/Charales
população	cidadã/cidadão/alma/indivíduo/ser_humano/alguém/pessoa
trem_de_passageiros	carruagem/vagão
Podocarpus	Podocarpus_elongatus/Podocarpus_coriaceus/Podocarpus_nivalis
Mamute	mamute
Reino_da_Tailândia	tailandês
ONU	Tribunal_Internacional_de_Justiça/Tribunal_internacional_de_justiça/Secretariado_das_Nações_Unidas/Secretariado_das_nações_unidas/Assembleia_Geral
Trácia	trácios/Trácios/trácio
Checoslováquia	tchecoslovaco/checoslovaco
galáxia	estrela
Oryza	arroz
Rosidae	Rosales/Geraniales/Myrtales
Agaricales	Agaricaceae
EUA	estado-unidense/norte-americano
Cidade_Luz	parisiense
Caprimulgus	noitibó-da-europa
Prússia	prussiano
Organização_para_a_Libertação_da_Palestina	Fatah
Casa_de_Tudor	Joana_Grey/Joana_grey
Canis_major	Sirius/Sírio
Reino_da_Noruega	norueguês/Norueguês/norueguesa
Hippocastanaceae	Aesculus
Flaviviridae	Flavivirus/Flavivírus
Polônia	polonesa/polaco/polonês/polaca/Polacos/polonêsa
Dilleniaceae	Hibbertia
Crocodylus	crocodilo/crocodilos
Comunhão_Anglicana	anglicano
Alfabeto_grego	Θ/φ/alfa/Ι/Χ/ni/lambda/quem/psi/Γ/sigma/épsilon/Ζ/pi/rô/capa/tau/delta/csi/beta/ômicron/omêga/eta/ipsilone/epsílon/Υ/α/Y/Σ/ípsilon/ómega/Ω/iota/β/Ιota/Ρ/mi/Κ/dzeta/Gama/Δ/teta/zeta/fi/cá/Η/xi/gama/Π/hipsilo/deltas/ipsilão/Μ
Lythrum	Lythrum_salicaria
Flacourtiaceae	Flacourtia/Hydnocarpus/Dovyalis
Lythraceae	Lagerstroemia/Lythrum
Sparidae	Pagrus/Calamus
Tiliaceae	Tília/Tilia/Entelea/Corchorus
Picus	peto_verde
Protistas	protista
Haloragaceae	Myriophyllum
Andorinha	Hirundo/Delichon
Bielorrússia	bielorrusso
Coros	coralista
faculdade	catedrático/escola/IES/instituto/instituição_de_ensino_superior/universidade/professor
Cingapura	singapurense/singapuriano
Tilia	tília/til
homem	gente/povo/pessoas/população
Tebas	tebano
governo	juizado/Poder_Executivo/poder_executivo/assembléia_legislatíva/legislatura/poder_legislativo/burocracia/administração/divisão/departamento
Necturus	Necturus_maculosus
Paínho	Oceanites
Gabinete_Executivo_dos_Estados_Unidos	Secretário_de_Estado/Secretário_de_estado
Cunoniaceae	Ceratopetalum
Theophrastaceae	Jacquinia
Otididae	abetarda
Iêmen	iemenita
Pipridae	Pipra
Lao	laosiano
Melicoccus	mamoncillo/Melicoccus_bijugatus
Polónia	polonesa/polaco/polonês/polaca/Polacos/polonêsa
Clusiaceae	Calophyllum/Mesua/Hypericum/Mammea/Garcinia
Pinus	pinheiro
percevejo	Barata_d'água/Barata-d'água/Gerridae/Reduviidae
tulipa	túlipa
Irã	Persa/iraniano
Moluscos	moluscos/molusco/Gastrópodes/gastrópodes/Bivalves/Bivalvia
companhia	pelotão/elenco
Organização_das_Nações_Unidas	Tribunal_Internacional_de_Justiça/Tribunal_internacional_de_justiça/Secretariado_das_Nações_Unidas/Secretariado_das_nações_unidas/Assembleia_Geral
Chirocephalus	Artemia_salina
Algas_verdes	Ulvophyceae/algas_verdes/Charophyceae/Chlorophyceae
armada	frota
Vigna	Vigna_radiata/Vigna_unguiculata
Liliidae	Liliales
Basidiomycota	Agaricales
Sirenia	peixe-boi/Peixe-Boi/Peixe_boi/Dugongidae
OTAN	Reino_da_Noruega/Grão-Ducado_do_Luxemburgo/Islândia/República_da_Bulgária/Noruega/Bulgaria/Bairros_da_Noruega/República_da_Islândia/Bulgária/Luxemburgo/Espanha/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Canadá/Canada/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Turquia/República_da_Turquia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
Oncorhynchus	Oncorhynchus_tshawytscha
Caesalpinia	Caesalpinia_pulcherrima/Caesalpinia_echinata
Musaceae	bananeira/Ensete
Estados_Unidos	poder_legislativo_dos_Estados_Unidos/estado-unidense/norte-americano
Strigiformes	Tytonidae/Strigidae/Corujas/estrige/coruja/bufo/mocho/corujão
moluscos	molusco/Gastrópodes/gastrópodes/Bivalves/Bivalvia
Sapo	sapo
Viperidae	vibora/víbora/cobra
Bignoniaceae	Bignonia/Crescentia/Chilopsis
Caviidae	Cavia
Grã_Bretanha	bretão/britânico
Lituânia	lituânio/lituânico/lituano
Eriobotrya	Nêspera/ameixa/nespereira
Solanum	batata/beringela/berinjela
Aranha-lobo	Lycosa
Acanthaceae	Thunbergia/Graptophyllum
República_do_Mali	Maliense
Movimentos_políticos	célula/células
constelação	asterismo/estrela
Hungria	húngara/húngaro
ouvintes	aluno/auditor/ouvinte
Bairros_da_Noruega	norueguês/Norueguês/norueguesa
Potamogetonaceae	Zostera/Potamogeton/Groenlandia
feminismo	feminista
Rhizophoraceae	Rhizophora
Sciurus	esquilo_vermelho/esquilo-vermelho
Gênova	genovez
gadiformes	Gadidae
Gruiformes	Turniciformes/Otididae/Abetarda/Rallidae/Seriema/Gruidae
Trematoda	Helmintologia/verme
Pyrolaceae	Orthilia/Chimaphila
Iridaceae	Sparaxis/Sisyrinchium/Ixia
Santalaceae	Comandra/Santalum
estrutura_social	Regimes_políticos
Hypoxidaceae	Hypoxis
Spheniscidae	Spheniscus/pinguim/Aptenodytes
Perciformes	Gerreidae/Microdesmidae/Coryphaenidae/Malacanthidae/Gobiesocidae/Eleotridae/Perca/Ammodytidae/Priacanthidae/Cichlidae/Peixe-papagaio/Scaridae/Stromateidae/Sparidae/Toxotidae/Opistognathidae/caboz/Gobiidae/Chaetodontidae/Centropomidae/Anabantidae/Lutjanidae/Pomacentridae/Percophidae/Gempylidae/Centrarchidae/Percidae/Ephippidae/Haemulidae/Serranidae/Sciaenidae/Acanthuridae/Carangidae/Labridae/Apogonidae/Kyphosidae
lampíride	pirilampo/vaga-lume
Araucariaceae	Agathis
Theraphosidae	tarântula
Cathartidae	Cathartes
Pandanales	Typhaceae/Pandanaceae/Sparganiaceae
Macedónia	macedônico
Placentalia	Primatas/primatas/Proboscídeos/Proboscidea/Lagomorfos/lagomorfos/cetáceos/Cetáceos/carnívoros/Carnívoros/Carnivora/fissípedes/Insectívoros/mamífero/Sirenia
Pisum	ervilha
Campanulales	Cucurbitaceae/Campanulaceae/Asteraceae/Goodeniaceae
Croacia	Croata/croatas
Coryphaenidae	golfinho
Caryocaraceae	Caryocar
Macedônia	macedônico
Polonia	polonesa/polaco/polonês/polaca/Polacos/polonêsa
morangueiro	morango_silvestre/Fragaria_chiloensis/Morango/morango
Estado_do_Kuwait	kuwaiti
Ulvales	Ulvaceae
Nicaragua	nicaraguense
nobreza	par/patrício/Lady/aristocrata
República_da_Bulgária	búlgaro
Taricha	Taricha_granulosa
fungos	ficomiceto/fungo
Punica	romã/romãzeira
Chamaecyparis	Cedro_do_oregon/Cedro_do_Oregon/Cedro-do-oregon
Caryophyllidae	Caryophyllales
Venezuela	venezuelano
Meliaceae	Cedrela/Azadirachta/mogno/Lovoa/Toona/Khaya/Melia
França	basco/francês
exército	legionário/caixilho/corpo/militar
Filipinas	filipino
Caryophyllales	Portulacaceae/Caryophyllaceae/Phytolaccaceae/Nyctaginaceae/Amarantaceae/Amaranthaceae/Aizoaceae
Sterculioideae	Helicteres/Triplochiton/Firmiana/Theobroma/Fremontodendron/Pterospermum/Brachychiton/Heritiera
Pleuronectidae	Pleuronectes
Lepidium	lepidium/mastruço
Terópodes	Megalosauridae/Maniraptora
Suecia	sueca/sueco
Avahi	Avahi_laniger
Tinca	tenca
mitologia	mito/lenda
Aedes	Aedes_albopictus/Aedes_(stegomyia)_aegypti/Aedes_(Stegomyia)_aegypti/Aedes_(Stegomyia)_albopictus/Aëdes_aegypti/Aedes_(stegomyia)_albopictus/Aedes_aegypti
Portugal	lusitano/português/luso
Sicília	siciliano
Rodízio	castor
cristianismo	Cristãos/cristão/cristã/Cristão
Branco	caucasiano/caucasiana/branco
República_Democrática_Popular_de_Lao	laosiano
Indridae	Avahi
Etiópia	etíope
Beta	beterraba
India	hindu/indiano
Mitologia	mito/lenda
Osteoglossiformes	Aruanã
canídeos	Canis/Vulpes/Raposas/cão/canídeo/Urocyon/Nyctereutes
Classe_trabalhadora	operário/trabalhador/proletário/colarinho_azul
Nações_Unidas	Tribunal_Internacional_de_Justiça/Tribunal_internacional_de_justiça/Secretariado_das_Nações_Unidas/Secretariado_das_nações_unidas/Assembleia_Geral
biologia	Fauna/fauna/vegetação/flora
Grã-Bretanha	bretão/britânico
Uintatheriidae	Uintatério
República_do_Quénia	queniano
Camboja	khmer
Rubiales	Valerianaceae/Rubiaceae/Dipsacaceae/Caprifoliaceae
Iemen	iemenita
Taiti	taitiano
Espécie	Estirpe/variante/raça/estirpe
Tamaricaceae	Tamarix
Falcatifolium	Falcatifolium_taxoides/Falcatifolium_falciforme
Copernicia	Carandá/carnaúba
Felino	Felis/Acinonyx/grande_felino/gato/Panthera/felinos/felino/felídeos
Júri	jurado/juror/júri
Sylvilagus	Sylvilagus_aquaticus
Psychodidae	Phlebotomus
Volvocaceae	Volvox
Juncaginaceae	Triglochin
Brasil	brasileira/brasileiro
Ebenales	Styracaceae/Sapotaceae/Ebenaceae
mão-de-obra	partida
Iugoslávia	Jugoslavo/iugoslavo
Singapura	singapurense/singapuriano
Dioscoreaceae	Tamus/Dioscorea
Marrocos	marroquino
Rajiformes	Dasyatidae
Namibia	Hereros/hererós
Najadaceae	Najas
Pteropus	raposa_voadora
Ectoprocta	Entoprocta
cavalo_marinho	cavalo-marinho
Phoeniculidae	Phoeniculus
Sapindus	Koelreuteria_paniculata
Laurel_and_Hardy	Oliver_hardy/Oliver_Hardy/Stan_laurel/Stan_Laurel
Blattidae	Periplaneta
República_Árabe_Unida	egípcio
E.U.A.	estado-unidense/norte-americano
tripulação	tripulante
Colubridae	Sonora/Nebelia/colubrídeos/Natrix/Coluber
Vespidae	Vespa-cabocla
Todidae	Todus
Abecásia	abecásio/abcaz/abcásio/abcázio/abecázio
Percevejos	Barata_d'água/Barata-d'água/Gerridae/Reduviidae
Hipposideridae	Hipposideros
anseriformes	Anatidae/Anhimidae
mixto	carruagem/vagão
Raphanus	rábano/rabanete
República_da_China	taiwanesa/taiwanês/chinês/chinesa
Abudefduf	Castanheta_das_rochas/Castanheta-das-rochas
livro-caixa	sistemas_de_contabilidade/contabilidade
Polypodiales	Blechnaceae/Dicksoniaceae/Aspleniaceae/Osmundaceae
Índia	hindu/indiano
Haematoxylum	Hematoxylon_campechianum
Armênia	armênios/Arménios
Organização_do_tratado_do_atlântico_norte	Reino_da_Noruega/Grão-Ducado_do_Luxemburgo/Islândia/República_da_Bulgária/Noruega/Bulgaria/Bairros_da_Noruega/República_da_Islândia/Bulgária/Luxemburgo/Espanha/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Canadá/Canada/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Turquia/República_da_Turquia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
regimento	batalhão
Proteaceae	Persoonia/Embothrium/Leucadendron/Lambertia/Conospermum/Xylomelum/Knightia/Orites/Stenocarpus/Hakea
Coccinellidae	joaninha/coccinela
Malasia	malaio/Malaios
Ficus	sicômoro
Paridae	Parus/milharós/abelharuco/chapim
Tridacnidae	Tridacna
Reptantia	lagosta/Nephropidae
República_Tcheca	Tcheco/Tcheca
Grossulariaceae	Ribes
maometismo	muçulmano/Muçulmano/Muçulmanos/Islão_sunita
Império_bizantino	bizantino
Rhizophora	Mangue-vermelho/mangue/mangais
Leucanthemum	margarida/Leucanthemum_vulgare
sistemas_sociais	Regimes_políticos
Laniidae	picanço/Lanius
República_da_Lituânia	lituânio/lituânico/lituano
Dioscorea	inhame
Taxus	Teixo/Taxus_cuspidata
Pícea	pícea/espruce/abeto_vermelho
Araceae	Calla/Dracunculus/Scindapsus/Epipremnum/Zantedeschia/Syngonium/Peltandra/Lysichiton/Orontium/Xanthosoma/Aglaonema/Dieffenbachia/Arisaema/Acoraceae/Colocasia/Arisarum
Icterini	Molothrus/Agelaius/Cacicus/Icterus
Nymphaeaceae	Nelumbonaceae/Cabombaceae/Nuphar/Nymphaea/nenúfar
Agaricaceae	Amanita/Pleurotus/Coprinus/Agaricus
Laurel_and_hardy	Oliver_hardy/Oliver_Hardy/Stan_laurel/Stan_Laurel
London	londrino
Universo	nebulosa/galáxia/Via_Láctea
Chrysochloridae	Chrysochloris
corpo_docente	catedrático/professor
Nord	ianque/gringo
coalizão	aliado
Megaloptera	Sialidae
Isatis	pastel
Certhiidae	Certhia
Araliaceae	Meryta/Schefflera
Picea	pícea/espruce/abeto_vermelho
Islame	muçulmano/Muçulmano/Muçulmanos/Islão_sunita
República_da_Islândia	islandês
azul-marinho	frota
Sarracenia	Sarracenia_purpurea
Brassica	couve-de-folhas/mostarda-preta/Mostarda-preta/sinapis/brócolis/couve-nabo/Mostarda-castanha/repolho/colza/nabo/couve
Corylus	avelã
Ulema	Mulá
Arctium	bardana
burguesia	burguês/burguesa
Liliaceae	Melanthiaceae/Asphodeline/Smilacaceae/Veratrum/Colchicaceae/Polygonatum/Hosta/Alstroemeriaceae/Smilax/Camassia/Hyacinthoides/Allium/Ruscaceae/Asphodelaceae/Xerophyllum/Aphyllanthaceae/Lírio/Colchicum/Ornithogalum/Xanthorrhoeaceae/Ruscus/tulipa/Tulipa/Muscari/Bessera/Asphodelus/Liriope/Hyacinthaceae/Zigadenus/Hemerocallidaceae/Aletris/Erythronium/Alliaceae/Calochortus/Fritillaria/Asparagaceae/asfódelo/Bloomeria/Maianthemum/Anthericum
Protista	protista
pessoal	plebeu/elenco
touro	Nebulosa_do_Caranguejo/Nebulosa_do_caranguejo/Plêiades/Plêiades_M45/Aldebarã
Capra	Bode/cabra/bode/cabrito
Chlorophyceae	Chlorococcales/Oedogoniales/Zygnematales/Chlamydomonadales/Ulvales
Durio	durio/durião
Neerlândia	Holandês/holandês/neerlandês
casal	marido/cónjuge/cônjuge/esposo/consorte/colega/homem/esposa
Formicariidae	Hylophylax/Thamnophilidae/Formicarius
República_da_Albânia	albanês/albanés/albanesa
Máli	Maliense
Cedrela	Cedro-cheiroso/Cedro_cheiroso
Linaceae	Linum
Polygonum	trigo_sarraceno
Lamiaceae	Nepeta/Scutellaria/Sideritis/Lavandula/Trichostema/Acinos/Leonurus/Agastache/Ballota/Marrubium/Pycnanthemum/Blephilia/Lamium/Ocimum/Calamintha/Teucrium/Lepechinia/Conradina/Micromeria/Rosmarinus/Hedeoma/Clinopodium/Leonotis/Mentha/Lycopus/Pogostemon/Monardella/Ajuga/Collinsonia/Melissa/Glechoma/Stachys/Dracocephalum
Marsilea	Marsilea_quadrifolia
regime	juizado/Poder_Executivo/poder_executivo/assembléia_legislatíva/legislatura/poder_legislativo/burocracia/administração/divisão/departamento
espécie	Estirpe/variante/raça/estirpe
Echinoidea	ouriço-do-mar
Falconiformes	falconídeos/Falconidae/Accipitridae/Cathartidae/Abutres_do_Novo_Mundo
Papaveraceae	Dendromecon/Corydalis/Macleaya/papoula/papoila/dormideira/Glaucium/Platystemon/Meconopsis/Romneya/Hunnemannia/Chelidonium/Stylomecon/Stylophorum/Papaver
Balaenoptera	baleia-sei/Baleia_comum/baleia-anã/baleia-comum/baleia_azul/baleia-azul/rorqual-azul/grande-rorqual
Boidae	jibóia
Holanda	Holandês/holandês/neerlandês
Acanthuridae	Acanthurus
Apiaceae	Myrrhis/Petroselinum/Foeniculum/Conium/Oenanthe/Sanicula/Eryngium/Carum/Sium/Pimpinella/Daucus/Apium/Anthriscus/Cicuta
figueira	sicômoro
Sauropodomorfos	Prosauropoda/saurópodes/Terópodes/terópoda
equipagem	tripulante
Grupo_de_Bloomsbury	Virginia_Woolf/Virginia_woolf/John_maynard_keynes/John_Maynard_Keynes/Lytton_Strachey/Roger_Fry
Arachis	amendoim
paraquedistas	paraquedista
floresta	árvore
Músicos_de_Israel	israelita/Tribos_de_Israel/Tribos_de_israel
sistema_solar	planeta/Urano/Marte/Netuno/Neptuno/mundo/Terra/globo_terrestre/Júpiter/sol/Sol/Cintura_de_Kuiper/Cintura_de_kuiper/Mercúrio/Plutão/Plutao/planeta_menor/asteroide/asteróide/Vénus/Vênus/Saturno
Mimosoideae	Leucaena/Enterolobium/Prosopis/Pithecellobium/Piptadenia/Adenanthera/Parkia
Clupeidae	Alosa
Irao	Persa/iraniano
Geraniaceae	Erodium/gerânio/Pelargonium
pelecaniformes	Fregatidae/Sulidae/Anhingidae/Rabo-de-palha/Phalacrocoracidae/Rabo_de_palha/Corvo-marinho/Cormorão/sulídeos
Balaenopteridae	Balaenoptera/baleia-jubarte
Zygophyllaceae	Guaiacum/Larrea/Zygophyllum/Tribulus/Bulnesia
ortografia	divisão_da_palavra_no_final_da_linha/colocação_de_hífens/pontuação/Pontuação
Cuaite	kuwaiti
catolicismo	católico
Humulus	lúpulo
Sérvia	sérvios/Sérvios/sérvio
Escocia	escocês
Quercus	carvalho/carvalho-vermelho
República_Democrática_do_Congo	congolês/congolense
Procyon	guaxinim
Cracidae	Penelope
Lituania	lituânio/lituânico/lituano
Belarus	bielorrusso
Peru	peruano
Annonaceae	Annona/Xylopia/Oxandra
Bivalves	Unionidae/Tridacnidae/Vieira/Pectinidae
Império_Bizantino	bizantino
Lacertidae	Lacerta
Cucurbitaceae	Cucumis/Cucurbita/Citrullus/Lagenaria/Momordica
Sapindaceae	Cardiospermum/Sapindus/Dodonaea/Melicoccus/Blighia/Dimocarpus/Nephelium
Israel	israelita/Tribos_de_Israel/Tribos_de_israel/israelense
Equisetaceae	cavalinha
Ovis	argali/cordeiro/carneiro-de-dall/carneiro/muflăo/anho/Muflão/ovinos/ovelha
República_da_Gâmbia	gambiano
Arábia	árabe/Arábico
Bletilla	Bletilla_striata
Aleurites	Nogueira_de_Iguape/Nogueira_de_iguape
Galega	Arruda-caprária
Ateles	Ateles_geoffroyi
Belonidae	Gar/Lepisosteiformes
painho	Oceanites
Equinodermes	pepino-do-mar/Pepino_do_mar/Crinoidea/Ophiuroidea/equinodermo/equinodermos/Echinoidea
Tragelaphus	Bauala/Tragelaphus_eurycerus
universidade	IES/faculdade/instituição_de_ensino_superior/instituto/escola
Citrullus	melancia/melancieira
gastrópodes	Docoglossa/Opisthobranchia/Pulmonata/Strombidae/Neritidae/Buccinidae/Limacidae/Haliotidae
agência_corretora	intermediário/Broker/corretor
Solanaceae	Atropa/Datura/Cyphomandra/Brugmansia/Physalis/Fabiana/Lycopersicon/Brunfelsia/Hyoscyamus/Scopolia/Lycium/Cestrum/Solandra/Solanum
Cistaceae	Cistus/Hudsonia
Procellariidae	Puffinus/Fulmar/Petrel
homens	partida
Malvales	Sterculioideae/Tiliaceae/Sterculiaceae/Elaeocarpaceae/Bombacaceae/Malvaceae
Meropidae	Merops
Artamini	Artamus
ordem	classe/frade/sócio_de_clube/irmão/associado/família
Bassariscus	bassarisco
Letónia	letão
Accipitridae	milhafre/Aquila/Pernis/Milhafre/Milvus/Accipiter/Haliaeetus/Águias/Águia/águia/Circaetus/Buteo/Gavião/acípitre/gavião/Gyps
Fulica	galeirão-americano/galeirão
gangue	Gangster/gângster/bandido/Gângster
teclado	tecla
Leptodactylidae	Eleutherodactylus/Leptodactylus
Classe-média	burguês/burguesa
Maçonaria	maçom/franco-maçom
Lepus	Lebre-comum/lebre-ártica/Lebre_ártica/Lebre_comum/lebrão/lebre
equipe	tripulante
audiências	aluno/auditor/ouvinte
Leycesteria	Leycesteria_formosa
Exército	corpo
cebídeos	Cebus/Alouatta/Aotus/Ateles/Uacari/Titi
Euphorbiaceae	Codiaeum/Acalypha/seringueira/Jatropha/Cnidoscolus/Aleurites/Manihot/Hevea/Euphorbia/Pedilanthus
Procellariiformes	Procellariidae/painho/petrel-mergulhador/Paínho/Hydrobatidae/Petrel_mergulhador/Petrel-mergulhador/Painhos
humanidade	gente/povo/pessoas/população
género	Espécie/espécie/espécies
